"country_code","pct_positive","test_by_million","gdp_per_capita","health_expenditure_per_capita","percent_population_65_above","population_density","percent_urban_population"
"AFG",5.6775,445.5,520.896602719135,67.1226501464844,2.58492693988024,56.937760009803,25.495
"ALB",10.3,1855,5268.84850355919,2924.5544029442,13.7447359109736,104.612262773723,60.319
"DZA",7.43333333333333,18224.1111111111,4114.71506136896,258.494293212891,6.36249654497986,17.7300750711665,72.629
"AND",9.67692307692308,15350.0256410256,42029.7627372989,4040.78662109375,18.2010733390767,163.842553191489,88.062
"AGO",4.9,727.5,3432.38573600893,114.45964050293,2.21637364776329,24.7130520574316,65.514
"ATG",12.10625,1585.8125,10309.2855383076,623.480199584961,8.88537818977814,133.04407326144,66.5725925925934
"ARG",11.9,400,11683.9496216363,1324.603515625,11.1177888760774,16.2585100979651,91.87
"ARM",11.1,3656,4212.07094272937,407.635864257813,11.2538176570131,103.680224798033,63.149
"ABW",12.10625,1585.8125,25630.2664922069,623.480199584961,13.5509471396854,588.027777777778,43.411
"AUS",1.6,16004,57373.6866841281,5331.81787109375,15.6564752275591,3.24912948744283,86.012
"AUT",8.3,19762,51461.9547804677,4939.87548828125,19.0015664595899,107.206926667578,58.297
"AZE",1.6,5796,4721.17808673142,275.809356689453,6.19518275071493,120.265319946776,55.68
"BHS",12.10625,1585.8125,32217.871590084,1771.53552246094,7.25760235662035,38.5254745254745,83.025
"BHR",1.6,36752,24050.7575053956,1127.18627929688,2.42633387832394,2017.27369979138,89.287
"BGD",10.1,129,1698.26280233547,36.2823371887207,5.15839063962068,1239.57931166936,36.632
"BRB",7.8,3362,17949.2815054371,1183.83618164063,15.8026939621338,666.606976744186,31.147
"BLR",5.5,9146,6289.93855308212,342.499908447266,14.8451481743098,46.7287999040892,78.595
"BEL",25.9,12104,47518.6360388914,4507.3564453125,18.7887437383395,377.214927344782,98.001
"BLZ",12.10625,1585.8125,4884.74242133376,280.498809814453,4.73645877657144,16.7939938623411,45.724
"BEN",4.9,727.5,901.543871206357,30.7664470672607,3.25360529746338,101.853919829727,47.312
"BMU",12.85,12242.5,85748.0654143782,4754.94775390625,17.2320066788651,1184.59257167194,100
"BTN",5.6775,445.5,3243.23112508014,96.7993011474609,6.00301171280561,19.7775277714448,40.895
"BOL",12.6,191,3548.59013979338,220.274566650391,7.19194739218447,10.4801458506416,69.425
"BIH",7.6,4526,40362.4862464801,2924.5544029442,18.2010733390767,668.898411311735,73.0538333333322
"BWA",4.9,727.5,8258.64166574691,465.929321289063,4.22387434629301,3.97742487604327,69.446
"BRA",6.4,2266,8920.76210462979,928.79931640625,8.92283783244003,25.0617162430876,86.569
"VGB",12.85,12242.5,65990.5275185377,4754.94775390625,17.2320066788651,594.33393994313,90.7055
"BRN",7.97166666666667,2807.33333333333,11456.8251091974,439.986348470052,6.93158344800087,1018.82593539376,53.1973333333336
"BGR",3.3,2288,9272.62930360848,663.715087890625,21.021914434268,64.7035372144436,75.008
"BFA",4.9,727.5,2655.8810250476,130.335712814331,3.4066687592805,109.780013895103,44.0704722222236
"MMR",5.6775,445.5,1325.9529237064,58.0439567565918,5.78464193257209,82.2386154835549,30.579
"BDI",4.9,727.5,271.752044376648,23.5004329681396,2.24694046033717,435.178271028037,13.032
"CPV",4.9,727.5,2655.8810250476,130.335712814331,3.4066687592805,109.780013895103,44.0704722222236
"KHM",7.97166666666667,2807.33333333333,1510.3248705764,82.0758666992188,4.56868001756576,92.0564128710628,23.388
"CMR",4.9,727.5,1533.74213975885,67.8118133544922,2.72887735524057,53.3439889149796,56.374
"CAN",6.2,13614,46232.9896226967,4754.94775390625,17.2320066788651,4.07530821431988,81.411
"CYM",12.10625,1585.8125,10309.2855383076,623.480199584961,8.88537818977814,133.04407326144,66.5725925925934
"CAF",4.9,727.5,2655.8810250476,130.335712814331,3.4066687592805,109.780013895103,44.0704722222236
"TCD",4.9,727.5,728.343235359289,29.730863571167,2.48051894434901,12.2917336404066,23.059
"CHL",9,4603,15923.3587375381,1381.98620605469,11.5298016568816,25.1894460666519,87.564
"CHN",3.85333333333333,4551.66666666667,9770.84708783314,440.825622558594,10.9208835350654,148.348833270666,59.152
"COL",6.6,865,6667.7906995498,459.197570800781,8.47804701986958,44.7487021180712,80.778
"COG",4.9,727.5,2147.76946104594,49.9837226867676,2.68171953903232,15.3568462664715,66.916
"COD",4.9,727.5,2655.8810250476,130.335712814331,3.4066687592805,109.780013895103,44.0704722222236
"CRI",9,769,10309.2855383076,623.480199584961,8.88537818977814,133.04407326144,66.5725925925934
"CIV",4.9,727.5,2655.8810250476,130.335712814331,3.4066687592805,109.780013895103,44.0704722222236
"HRV",10.4,3023,14909.6931860854,902.1396484375,20.445433012423,73.0771979985704,56.947
"CUB",12.10625,1585.8125,8821.81889125004,987.627014160156,15.1862114171521,108.999596231494,77.037
"CUW",12.10625,1585.8125,19567.8924351055,623.480199584961,16.6848948092804,360.754504504505,89.145
"CYP",9.67692307692308,15350.0256410256,28689.6985789646,1731.69445800781,13.7190617734483,128.708333333333,66.81
"CZE",4,15262,23078.5734865691,1475.91516113281,19.4208768932343,137.602887852888,73.792
"DNK",7.6,16606,61350.3479093986,5800.1513671875,19.8129526369902,138.067301738509,87.874
"DJI",4.9,727.5,3082.54309871957,70.3308944702148,4.52757937811482,41.3684210526316,77.777
"DMA",12.10625,1585.8125,7691.34509727878,439.594451904297,8.88537818977814,95.5,70.483
"DOM",12.10625,1585.8125,10309.2855383076,623.480199584961,8.88537818977814,133.04407326144,66.5725925925934
"ECU",29.5,1631,6344.87197850057,518.029602050781,7.15728972666108,68.7886817522951,63.821
"EGY",5.2,550,2549.13225178609,105.768455505371,5.22977934620923,98.8734692852479,42.704
"SLV",12.10625,1585.8125,10309.2855383076,623.480199584961,8.88537818977814,133.04407326144,66.5725925925934
"GNQ",4.9,727.5,2655.8810250476,130.335712814331,3.4066687592805,109.780013895103,44.0704722222236
"ERI",4.9,727.5,811.376028602108,32.9119987487793,4.08385636215873,31.8215049504951,35.771
"EST",3.9,28301,23266.3462718751,1300.48168945313,19.6263568469749,30.3861053600184,68.88
"SWZ",4.9,727.5,4145.97411168691,224.736770629883,4.01458794083506,66.0576162790698,23.799
"ETH",4.9,727.5,772.313530261357,25.2619533538818,3.50113299760986,109.224559,20.763
"FRO",9.67692307692308,15350.0256410256,40362.4862464801,2924.5544029442,18.2010733390767,668.898411311735,73.0538333333322
"FJI",7.97166666666667,2807.33333333333,6266.96796528074,188.414321899414,5.44968041263952,48.3570333880679,56.248
"FIN",6.6,10057,50152.3401411303,4205.74267578125,21.7207875455222,18.1568556480537,85.382
"FRA",24.4,5455,41463.6440227034,4379.72705078125,20.0346247469881,122.338395739199,80.444
"PYF",7.97166666666667,2807.33333333333,11456.8251091974,439.986348470052,6.93158344800087,1018.82593539376,53.1973333333336
"GAB",4.9,727.5,7952.52589277651,204.492248535156,3.56390746835592,8.22476423332169,89.37
"GMB",4.9,727.5,716.118488979126,23.2723255157471,2.58998093938232,225.30652173913,61.27
"GEO",7.43333333333333,18224.1111111111,4717.14302573577,293.053588867188,14.8654914310525,65.2752020714511,58.632
